"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"VaccDscaff1-augustus-gene-163.28" 0.80499388439055 -3.25608362758804 3.96430734124544 -0.821349947747769 0.411446964807311 NA
"VaccDscaff1-augustus-gene-163.29" 1.50995234815964 3.99268644073165 3.25677662360046 1.22596263182386 0.220212737549598 NA
"VaccDscaff1-augustus-gene-163.30" 42.9667882609183 -0.389104742042148 0.845006038544858 -0.460475694010667 0.645174813944234 0.882276177075236
"VaccDscaff1-augustus-gene-164.28" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-165.47" 1.94927751284261 2.46846361654248 2.49972445874208 0.98749428478396 0.323400383323474 NA
"VaccDscaff1-augustus-gene-165.48" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-167.31" 3.72780037758081 -1.0448325583038 1.64348608790483 -0.635741650624978 0.524944824308102 0.821703969162863
"VaccDscaff1-augustus-gene-167.33" 1.4549270623595 -0.518028425212191 2.72605835867353 -0.190028369555616 0.849286899867746 NA
"VaccDscaff1-augustus-gene-167.35" 2.16395099773423 0.784844033311644 2.64286087632873 0.296967593088703 0.766491250603383 NA
"VaccDscaff1-augustus-gene-168.22" 1.61748065397568 1.63957443598753 2.93634907170258 0.558371772548438 0.576590543918235 NA
"VaccDscaff1-augustus-gene-169.16" 1.71873139362604 -0.876097545197933 2.57447949426778 -0.340300844170098 0.733629981498013 NA
"VaccDscaff1-augustus-gene-169.17" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-170.31" 10.4606709403315 -0.919023904339582 1.04283292168467 -0.881276267012097 0.378168308346659 0.713475160081713
"VaccDscaff1-augustus-gene-171.28" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-171.29" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-172.25" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-172.27" 0.905971408895784 3.25571596943198 3.92312097330331 0.829879066076984 0.406607161793105 NA
"VaccDscaff1-augustus-gene-172.29" 0.452734746890176 2.25508779183716 3.9947145798171 0.564517876503811 0.57240173761323 NA
"VaccDscaff1-augustus-gene-172.31" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-172.32" 0.178314335599442 -1.14680795831178 4.0804728567969 -0.28104780954529 0.778673730280535 NA
"VaccDscaff1-augustus-gene-173.28" 6.06025174719785 -0.00788675711157869 1.20004428715362 -0.00657205504497275 0.99475629649449 0.998641740995378
"VaccDscaff1-augustus-gene-174.30" 0.904465663549491 3.25343204863204 3.92558678652824 0.828775983197497 0.4072311807306 NA
"VaccDscaff1-augustus-gene-174.31" 0.737804717688557 0.625089055258854 3.55713525369298 0.175728222481811 0.860507461983402 NA
"VaccDscaff1-augustus-gene-176.29" 2.7291986046487 4.84639193645674 2.42571986699841 1.99791905173851 0.0457254367979509 0.199891776961066
"VaccDscaff1-augustus-gene-177.17" 0.301990469631928 1.67093956508304 4.03790131463183 0.413813868860089 0.67901042623145 NA
"VaccDscaff1-augustus-gene-177.18" 0.283063554927492 -1.81383899404002 4.05937475762039 -0.446827184564575 0.654999841735575 NA
"VaccDscaff1-augustus-gene-178.22" 0.607491855890202 2.67858307823812 3.97252472304985 0.674277258161825 0.500135059658115 NA
"VaccDscaff1-augustus-gene-178.24" 0.922755781053868 -3.47742174139772 3.50048534231368 -0.993411313386415 0.320509550474474 NA
"VaccDscaff1-augustus-gene-18.40" 193.402961522524 0.329427970969118 0.770317569245406 0.427652158176558 0.668904386032191 0.89080246139035
"VaccDscaff1-augustus-gene-18.42" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-18.48" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-18.49" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-18.51" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-18.52" 2.59366749190629 1.18273888051644 1.82562626269767 0.647853782936245 0.517079525573964 0.817706272851526
"VaccDscaff1-augustus-gene-182.23" 5.25238232336596 0.782875535685207 1.60001154617277 0.489293678884909 0.624633795590825 0.87287824627576
"VaccDscaff1-augustus-gene-182.24" 1.44930660177315 -1.14155107177051 2.72864423152818 -0.418358340226413 0.675685140773451 NA
"VaccDscaff1-augustus-gene-182.25" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-183.45" 2.35141475844304 0.110751077503038 2.10459967598454 0.0526233462671365 0.958032015108882 NA
"VaccDscaff1-augustus-gene-183.46" 26520.2097012639 -1.94518167701303 0.445039060889839 -4.37081112189054 1.23785837275411e-05 0.000254041024869967
"VaccDscaff1-augustus-gene-183.47" 80711.4191244724 -1.66239899559686 0.439214596333856 -3.78493567716778 0.000153748339540629 0.00227884181041348
"VaccDscaff1-augustus-gene-183.48" 266.690157200721 -0.92303842077153 0.431465760097365 -2.13930862222586 0.0324106818636217 0.158745839732674
"VaccDscaff1-augustus-gene-183.49" 23.7652049834362 -1.90591269325404 0.74119399912243 -2.57140869395952 0.0101285719580697 0.0708921884503474
"VaccDscaff1-augustus-gene-184.13" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-184.14" 1.06085337437925 3.48312675638574 3.32994498356777 1.04600129238587 0.295560435701582 NA
"VaccDscaff1-augustus-gene-185.20" 3.53025240311015 0.54798617685316 2.02901511696281 0.270074960147872 0.787102585447613 0.935600520607139
"VaccDscaff1-augustus-gene-185.22" 6.07691742757295 -0.0138189532157519 1.35620772696354 -0.0101894075229107 0.991870169732602 0.998196735820141
"VaccDscaff1-augustus-gene-186.19" 2.2794542763781 0.536225654688959 2.34706173529617 0.228466787483668 0.819283373119585 NA
"VaccDscaff1-augustus-gene-187.25" 1.23345683536487 -0.802302190216613 2.88774901153691 -0.277829612965433 0.781143157891015 NA
"VaccDscaff1-augustus-gene-187.26" 6.7308376958275 -2.18445332116703 1.35259430073208 -1.61500999966118 0.106308529397828 0.354792005212545
"VaccDscaff1-augustus-gene-187.27" 0.869873037800085 -0.925207985240657 3.64437372450057 -0.253872971100802 0.799593696760866 NA
"VaccDscaff1-augustus-gene-187.28" 1.41073028196758 -0.382946742931884 2.7723407802489 -0.138131194281788 0.890136732606873 NA
"VaccDscaff1-augustus-gene-187.29" 0.890555410817694 1.0445325730894 3.62603681939033 0.288064524746061 0.773297347274759 NA
"VaccDscaff1-augustus-gene-188.20" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-188.21" 0.402496942195275 -2.2433719168235 4.02189706280422 -0.557789491325107 0.576988139425222 NA
"VaccDscaff1-augustus-gene-188.22" 2.62127199270345 -0.252565484536187 2.47245036883643 -0.102151892599991 0.918636112066619 0.977396895342642
"VaccDscaff1-augustus-gene-188.23" 1.35720041043967 3.8389568080732 3.0494038006298 1.25892045103385 0.208059066156222 NA
"VaccDscaff1-augustus-gene-188.24" 3.95167626000986 0.631353664459035 1.60763836862818 0.392721196992689 0.694525413050097 0.902713858973697
"VaccDscaff1-augustus-gene-189.18" 9.21947124974626 -0.151722572983299 1.26651644564802 -0.119795185845904 0.904645395618592 0.973185987926433
"VaccDscaff1-augustus-gene-189.21" 11.9577664541406 1.8537620746551 1.23430416438769 1.50186811982013 0.133131171410382 0.405381959000865
"VaccDscaff1-augustus-gene-19.23" 9.00404786226027 -1.21962901450189 1.11109593179676 -1.09768110889364 0.272343761625135 0.602884504689127
"VaccDscaff1-augustus-gene-19.24" 5.24335282965154 0.77502715774683 1.38108195794966 0.56117390665028 0.574678989174625 0.848707314042725
"VaccDscaff1-augustus-gene-190.12" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-190.13" 0.150744277258248 0.776745393330706 4.0804728567969 0.190356711241657 0.849029616819546 NA
"VaccDscaff1-augustus-gene-191.20" 0.849190664782476 -3.36255221684389 3.96024570370972 -0.849076665544782 0.395838633717689 NA
"VaccDscaff1-augustus-gene-192.20" 0.566127109854984 -2.78449637817171 3.98629820550247 -0.698516828050682 0.484854037649929 NA
"VaccDscaff1-augustus-gene-192.21" 4.91678939543377 -0.0639307250566096 1.64574676101774 -0.0388460281805898 0.969013147327381 0.992090096998495
"VaccDscaff1-augustus-gene-192.22" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-193.17" 3.3415457069171 -1.41905933549544 2.08208319798815 -0.681557459791537 0.495518821881429 0.802500629538992
"VaccDscaff1-augustus-gene-193.18" 1.45845975567616 1.44468685136358 2.74141492068798 0.526985842406163 0.598203420049648 NA
"VaccDscaff1-augustus-gene-193.19" 30.6483534233071 -0.471046518322828 0.630359687070298 -0.747266248119539 0.454902861787031 0.772883285122712
"VaccDscaff1-augustus-gene-194.12" 2.36616484619481 0.796767819782613 2.30827972864508 0.345178190448479 0.729960413803266 NA
"VaccDscaff1-augustus-gene-195.32" 7.9123304058699 -1.58655564350738 1.27113561917195 -1.24814033969161 0.21197966764005 0.526524524962456
"VaccDscaff1-augustus-gene-195.33" 14.2874641252275 1.15212701453723 0.919292558681082 1.25327568863409 0.210105392872686 0.523589565590148
"VaccDscaff1-augustus-gene-195.34" 0.80499388439055 -3.25608362758804 3.96430734124544 -0.821349947747769 0.411446964807311 NA
"VaccDscaff1-augustus-gene-195.36" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-196.35" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-197.40" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-197.41" 3.23586804901898 0.333425498290697 1.6721203224819 0.199402814383476 0.841947659131282 0.953233551669977
"VaccDscaff1-augustus-gene-198.25" 2.20327894562211 0.269861803962375 2.12624819402677 0.126919239588536 0.899004318796538 NA
"VaccDscaff1-augustus-gene-198.27" 3.50685668751882 -0.401549490820375 1.81489005847429 -0.221252791013657 0.82489560634285 0.948937842935434
"VaccDscaff1-augustus-gene-199.25" 0.141531777463746 -1.14680795831178 4.0804728567969 -0.28104780954529 0.778673730280535 NA
"VaccDscaff1-augustus-gene-199.26" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-199.27" 272.624609082302 0.0684664882838512 0.409509119011232 0.16719160845347 0.867219286971125 0.959871378165844
"VaccDscaff1-augustus-gene-199.29" 617.472881376156 -9.40832174494163 0.842828416598926 -11.162796080022 6.20100589937052e-29 3.30878379489353e-26
"VaccDscaff1-augustus-gene-199.30" 3.55722848347638 -1.55123823122129 1.62093268601171 -0.957003486084359 0.338565495450207 0.676062956178503
"VaccDscaff1-augustus-gene-2.18" 3.31802257398365 0.824074300213573 1.5779287281838 0.522250647633549 0.601495826295544 0.863362744807195
"VaccDscaff1-augustus-gene-2.20" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-20.21" 9.45405969421753 1.71261317155198 1.15542960610463 1.48223064607615 0.138278934842865 0.413287715966929
"VaccDscaff1-augustus-gene-20.23" 0.32905861285769 -0.185027278882924 4.0804728567969 -0.045344567989154 0.963832663832906 NA
"VaccDscaff1-augustus-gene-20.24" 0.603980939263856 2.67080376871742 3.9728773451516 0.672259306463817 0.501418631188729 NA
"VaccDscaff1-augustus-gene-20.25" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-20.26" 1.46311111010593 -1.92918885646078 2.76073573054348 -0.698795192570278 0.484680033349905 NA
"VaccDscaff1-augustus-gene-20.27" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-20.28" 0.602977109032994 2.66857171848854 3.97297886571134 0.671680320658024 0.501787232236116 NA
"VaccDscaff1-augustus-gene-200.19" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-200.20" 10.7245260898556 -0.9714560304718 1.11296969626842 -0.872850387327627 0.382744631218165 0.717757494325772
"VaccDscaff1-augustus-gene-200.22" 56.431103853669 -0.559666620747504 0.557288063124788 -1.00426809361281 0.315249408331417 0.651637293794391
"VaccDscaff1-augustus-gene-200.23" 2.59926333067542 0.492580824619299 1.85591454408267 0.265411371547158 0.790692576975016 0.937029261388858
"VaccDscaff1-augustus-gene-201.20" 96.2500098783025 -2.24495619031304 0.48831915843893 -4.59731335852103 4.27973710445364e-06 9.90344267206607e-05
"VaccDscaff1-augustus-gene-202.28" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-202.29" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-203.14" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-203.15" 9.33544961910386 -1.27886832137725 1.07484505406837 -1.18981644520448 0.234118544485628 0.558424748101272
"VaccDscaff1-augustus-gene-206.21" 2.042258992447 0.988752877588709 2.45745642293231 0.402348081683947 0.687427873551996 NA
"VaccDscaff1-augustus-gene-207.23" 7.96436667115607 0.717401756245082 1.29786240327959 0.55275640501818 0.58043022400266 0.851234007978483
"VaccDscaff1-augustus-gene-209.13" 103.636761606558 0.685275418295345 0.50849413838845 1.34765647538664 0.177768897127881 0.479783047087815
"VaccDscaff1-augustus-gene-21.20" 2.01370739100057 0.628132254021258 2.21960709648385 0.282992541795483 0.777182554207185 NA
"VaccDscaff1-augustus-gene-21.22" 10.4275892095598 1.73800280567458 1.01353373492129 1.7147952216998 0.0863827779163643 0.312675996625647
"VaccDscaff1-augustus-gene-21.23" 0 NA NA NA NA NA
"VaccDscaff1-augustus-gene-210.29" 1.47736489369029 0.650042500354494 2.98488682273634 0.217777938983489 0.827602134166798 NA
"VaccDscaff1-augustus-gene-210.30" 0 NA NA NA NA NA
